Label,Image URI,Plate Number,Provider
Plate Number 370. First ballet action,https://api.nga.gov/iiif/892ef9b4-772c-42f6-8159-18fd4f735404/info.json,370,National Gallery of Art
"Plate Number 371. Acrobat, vertical ""press up""",https://api.nga.gov/iiif/79b39777-2b3f-46dc-b2a4-a90c3da82549/info.json,371,National Gallery of Art
"Plate Number 372. Acrobat, horizontal ""press up""",https://api.nga.gov/iiif/e756a1ea-05cb-43e3-80d1-21f2154f4e73/info.json,372,National Gallery of Art
"Plate Number 373. Acrobat, ""press up"" from chair",https://api.nga.gov/iiif/0741f212-8cb4-4679-8053-a48991c968b5/info.json,373,National Gallery of Art
"Plate Number 374. Blacksmiths, hammering on anvil",https://api.nga.gov/iiif/72a9af97-f5af-4cfb-9065-b59f609d3e40/info.json,374,National Gallery of Art
"Plate Number 375. Blacksmiths, hammering on anvil",https://api.nga.gov/iiif/20853f41-0404-4e2c-ab5e-c839fa18456d/info.json,375,National Gallery of Art
"Plate Number 376. Blacksmith, hammering on anvil with two hands",https://api.nga.gov/iiif/0c64557d-95c1-42de-82e7-6c61c7b8bacf/info.json,376,National Gallery of Art
"Plate Number 377. Two blacksmiths, hammering on anvil",https://api.nga.gov/iiif/04874210-27e8-451d-bbc8-1a8ac20e9b27/info.json,377,National Gallery of Art
"Plate Number 378. Blacksmith, hammering on anvil with two hands",https://api.nga.gov/iiif/e951ffd1-7a79-4890-bafb-3d2441759e88/info.json,378,National Gallery of Art
"Plate Number 379. Carpenter, planing a board",https://api.nga.gov/iiif/7efb2c48-f73f-47e0-991a-3207de5fa243/info.json,379,National Gallery of Art
"Plate Number 380. Carpenter, sawing a board",https://api.nga.gov/iiif/26e3e05a-90c9-4ce7-a8c5-4a226f4d9c11/info.json,380,National Gallery of Art
"Plate Number 381. Mason, laying a brick",https://api.nga.gov/iiif/173b199a-838c-4b4c-b763-1efa35e2dcb9/info.json,381,National Gallery of Art
Plate Number 382. Lifting a log on end,https://api.nga.gov/iiif/33f1930b-a05e-4f5f-acec-fe55952cf72b/info.json,382,National Gallery of Art
Plate Number 383. Lifting a log on shoulder,https://api.nga.gov/iiif/0bc3e9c5-7deb-4961-b7bc-55449dab5dd6/info.json,383,National Gallery of Art
Plate Number 384. Heaving a log from shoulder,https://api.nga.gov/iiif/19a32d56-ae5c-46f6-8185-0633ffdb1f35/info.json,384,National Gallery of Art
"Plate Number 385. Farmer, using a pick",https://api.nga.gov/iiif/ea3f9dd8-dc15-4a34-91fb-b206585d90f7/info.json,385,National Gallery of Art
"Plate Number 386. Miner, using a pick",https://api.nga.gov/iiif/db061c9f-d590-49c4-aed1-4535a13be201/info.json,386,National Gallery of Art
"Plate Number 387. Farmer, using a long-handled shovel",https://api.nga.gov/iiif/7fae070d-309d-44fa-ac5c-b62d373297e7/info.json,387,National Gallery of Art
"Plate Number 388. Farmer, using a spade",https://api.nga.gov/iiif/59a18c4b-aefa-430e-a324-1db4781818b9/info.json,388,National Gallery of Art
"Plate Number 389. Farmer, scattering seed",https://api.nga.gov/iiif/a18d7113-2e73-423d-bf67-d62e5087fb32/info.json,389,National Gallery of Art
"Plate Number 390. Farmer, mowing grass",https://api.nga.gov/iiif/aa96b47c-bdd0-4881-abbc-0adceabdffa0/info.json,390,National Gallery of Art
"Plate Number 391. Farmer, mowing grass",https://api.nga.gov/iiif/d18eb33c-d7db-44a6-9667-eca12178b728/info.json,391,National Gallery of Art
Plate Number 392. Dragging a garden roller,https://api.nga.gov/iiif/c65cf9c2-7d1c-4953-a92d-1c2b6b78e506/info.json,392,National Gallery of Art
Plate Number 393.  Pushing a garden roller,https://api.nga.gov/iiif/77782bd0-1942-46a5-9ae0-bd68db5fcd4c/info.json,393,National Gallery of Art
Plate Number 394. Turning a crank handle,https://api.nga.gov/iiif/b04f72d2-e3bb-4c82-907f-e08605358fe7/info.json,394,National Gallery of Art
Plate Number 395. Turning a crank handle,https://api.nga.gov/iiif/c0b336a7-3b7c-4695-a256-72aeff1ce0af/info.json,395,National Gallery of Art
Plate Number 396. Pounding with a mallet,https://api.nga.gov/iiif/a15c1e00-634e-44ab-8780-0ff6e6fc6eef/info.json,396,National Gallery of Art
Plate Number 397. Lifting a 75-lb. stone on shoulder,https://api.nga.gov/iiif/f6cca915-63fe-4fba-935c-bf056b60b79c/info.json,397,National Gallery of Art
Plate Number 398. Lifting a bucket of water to empty it,https://api.nga.gov/iiif/5b5f988a-29ef-40db-a505-ffad23ff7a51/info.json,398,National Gallery of Art
Plate Number 399. Emptying a bucket of water,https://api.nga.gov/iiif/4b435963-c9b6-4e30-9653-0b2b1779c765/info.json,399,National Gallery of Art
Plate Number 400. Emptying a bucket of water,https://api.nga.gov/iiif/d9db96c4-13ba-49c4-9420-f9feb68d80b4/info.json,400,National Gallery of Art
Plate Number 401. Emptying a bucket of water,https://api.nga.gov/iiif/02d1938d-3452-433e-9eae-6ac45dbab358/info.json,401,National Gallery of Art
Plate Number 403. Emptying a bucket of water,https://api.nga.gov/iiif/5d6d315e-308b-4dea-b198-a13cc698d51e/info.json,403,National Gallery of Art
Plate Number 404. Emptying a bucket of water,https://api.nga.gov/iiif/5b82b5e9-b2e3-4911-8c0d-e4f0a6a49c6e/info.json,404,National Gallery of Art
Plate Number 405. Carrying a hod of bricks up a ladder,https://api.nga.gov/iiif/70d98541-953e-472c-bf5f-1647525cf16e/info.json,405,National Gallery of Art
Plate Number 406. Woman pouring a bucket of water over another woman,https://api.nga.gov/iiif/49412002-6cc7-4dc2-8183-520b1e1ec352/info.json,406,National Gallery of Art
"Plate Number 408. Two models, 1 pouring bucket of water over 8",https://api.nga.gov/iiif/87c7a2e9-8a51-407d-bc17-e737d86d296b/info.json,408,National Gallery of Art
"Plate Number 410. Stepping out of a bathtub, sitting and wiping feet",https://api.nga.gov/iiif/d37b1b96-4ca3-46e5-ac44-e8fc62d9e00f/info.json,410,National Gallery of Art
Plate Number 414. Wiping body with towel,https://api.nga.gov/iiif/c515df5b-f340-486b-b1fc-c89c09aa124a/info.json,414,National Gallery of Art
"Plate Number 416. Toilet, putting on dress",https://api.nga.gov/iiif/81cb4756-ef12-4e3f-9f8e-e8b714e77715/info.json,416,National Gallery of Art
"Plate Number 417. Toilet, sitting and putting on stockings",https://api.nga.gov/iiif/7a605db9-2892-4525-b77b-0a0e598396a3/info.json,417,National Gallery of Art
"Plate Number 418. Toilet, sitting and putting on stockings",https://api.nga.gov/iiif/d6b2cbba-361f-48e6-9b2a-c1aef05cf437/info.json,418,National Gallery of Art
"Plate Number 420. Toilet, rising from chair and putting on clothing",https://api.nga.gov/iiif/89b0eb7f-c0b4-4767-9f7d-a6d0336f3293/info.json,420,National Gallery of Art
"Plate Number 421. Toilet, throwing handkerchief around shoulders",https://api.nga.gov/iiif/e7f8609a-f8dc-4abb-b701-7676dd27d521/info.json,421,National Gallery of Art
"Plate Number 422. Toilet, putting on shoes and rising from chair",https://api.nga.gov/iiif/8e2333b1-494a-48b1-95be-0e9d29973c64/info.json,422,National Gallery of Art
"Plate Number 423. Toilet, putting on boots and rising from chair",https://api.nga.gov/iiif/39d0d6a8-9351-4b6a-abc3-efa587e452b7/info.json,423,National Gallery of Art
"Plate Number 424. Toilet, rising from chair and putting on shawl",https://api.nga.gov/iiif/e19f475c-4f57-479d-b665-6b0fd3f0ea77/info.json,424,National Gallery of Art
"Plate Number 426. Toilet, brushing hair and walking off",https://api.nga.gov/iiif/f84eb543-0ee3-447a-bd61-240e3e9747d7/info.json,426,National Gallery of Art
Plate Number 428. Woman disrobing another,https://api.nga.gov/iiif/d679c90e-27e9-4d77-83d5-abfd07994fd3/info.json,428,National Gallery of Art
Plate Number 430. Toilet; taking off clothes,https://api.nga.gov/iiif/0312953f-728e-4d19-84c7-3823b9c5cb2f/info.json,430,National Gallery of Art
Plate Number 431. Taking off clothing,https://api.nga.gov/iiif/faf7ac6a-a79b-41f1-8d39-5e384b3c60e4/info.json,431,National Gallery of Art
Plate Number 433. Wringing clothes,https://api.nga.gov/iiif/47f226c6-690a-43f2-a630-3f7cf33870a4/info.json,433,National Gallery of Art
Plate Number 434. Hanging clothes on a line,https://api.nga.gov/iiif/0768da79-1ea9-4000-befa-281f8791c48a/info.json,434,National Gallery of Art
Plate Number 435. Ironing clothes,https://api.nga.gov/iiif/49de90dc-3690-4bb8-9db6-ff036d980bf1/info.json,435,National Gallery of Art
Plate Number 437. Setting down a bucket and preparing to sweep,https://api.nga.gov/iiif/4f616bee-f4ea-4359-a858-791e10f28c75/info.json,437,National Gallery of Art
Plate Number 438. Setting down a bucket and preparing to scrub,https://api.nga.gov/iiif/1d69e1f7-b0b2-4a91-ac4d-1638a46d02de/info.json,438,National Gallery of Art
Plate Number 439. Spreading a rug on the floor,https://api.nga.gov/iiif/c592e453-40ce-4731-9eb6-732c3d483925/info.json,439,National Gallery of Art
Plate Number 441. Carrying a vase and placing it on a table,https://api.nga.gov/iiif/69ccd9b4-ff03-4617-bc96-2216ff57523f/info.json,441,National Gallery of Art
Plate Number 443. Drinking from a goblet while standing,https://api.nga.gov/iiif/767cac29-fde5-4413-9acf-47c1664f7873/info.json,443,National Gallery of Art
Plate Number 444. Two models shaking hands and kissing each other,https://api.nga.gov/iiif/45506053-f6d2-4821-91b5-a85c89bfa280/info.json,444,National Gallery of Art
Plate Number 445. Woman drinking from the water jar on the shoulder of another woman,https://api.nga.gov/iiif/fa895e3f-5289-4fe4-af32-85dc671dfc3b/info.json,445,National Gallery of Art
Plate Number 446. Filling a pitcher on the ground from a water jar,https://api.nga.gov/iiif/bff03b3f-582d-4bbe-8cf0-81247fedbf69/info.json,446,National Gallery of Art
Plate Number 447. Woman taking a water jar from the shoulder of another woman,https://api.nga.gov/iiif/32b6f554-a813-4ddb-a23c-19945605edf3/info.json,447,National Gallery of Art
Plate Number 449. Feeding a dog,https://api.nga.gov/iiif/662cc744-3503-41cb-b359-f7cfe4b1b432/info.json,449,National Gallery of Art
Plate Number 451. Woman brings a cup of tea; another takes the cup and drinks,https://api.nga.gov/iiif/b986d84b-f0b8-4442-9234-565b8414d7f3/info.json,451,National Gallery of Art
Plate Number 454. Taking a 12-lb. basket from head and placing it on the ground,https://api.nga.gov/iiif/25d4507b-dfca-48a2-b5fd-b6de7553996b/info.json,454,National Gallery of Art
Plate Number 455. Throwing self on a heap of hay,https://api.nga.gov/iiif/d719bc7e-3211-4f6c-89c7-73ff5898dfa5/info.json,455,National Gallery of Art
Plate Number 456. Raking hay,https://api.nga.gov/iiif/95241fc9-436f-4ade-88be-028f9c2b9c6f/info.json,456,National Gallery of Art
Plate Number 457. Stepping on a chair and reaching up,https://api.nga.gov/iiif/f553ba6b-0249-46ac-b6b4-161d561b0ea9/info.json,457,National Gallery of Art
"Plate Number 458. Lifting handfuls of hay, turning and throwing it down",https://api.nga.gov/iiif/32f47f06-d8ce-407f-901a-5e25d755f1ea/info.json,458,National Gallery of Art
"Plate Number 459. Stepping on chair, reaching up and descending",https://api.nga.gov/iiif/9f67adb1-bf64-4871-9aaa-2590c8502a61/info.json,459,National Gallery of Art
Plate Number 460. Carrying a jar on shoulder and basket in hand and placing them on the ground,https://api.nga.gov/iiif/ae47cbab-f840-42c9-9d74-30aad2d924b0/info.json,460,National Gallery of Art
Plate Number 461. Opening a parasol and turning around,https://api.nga.gov/iiif/9b540b07-14ae-4e8d-9ea2-6065175664c9/info.json,461,National Gallery of Art
Plate Number 462. Pouring a libation on the ground and drinking from a goblet,https://api.nga.gov/iiif/e49ecf77-e83a-42e8-9b2c-dc7eba12e722/info.json,462,National Gallery of Art
"Plate Number 463. Reaching up, stooping and turning around",https://api.nga.gov/iiif/e5095a0b-9450-4646-8fe9-d6fd43e039cd/info.json,463,National Gallery of Art
Plate Number 464. Woman chasing another with a broom,https://api.nga.gov/iiif/f10e5e64-5df5-4e87-88b6-f8bb84491ac2/info.json,464,National Gallery of Art
Plate Number 465. Child bringing a bouquet to a woman,https://api.nga.gov/iiif/20f4d820-74f0-44b3-b268-b03399abdf64/info.json,465,National Gallery of Art
Plate Number 466. Child bringing a bouqet to a woman,https://api.nga.gov/iiif/a2c3376d-b804-4cd8-8cbf-1255d1acd0b8/info.json,466,National Gallery of Art
Plate Number 467. Child walking,https://api.nga.gov/iiif/3e07f587-0cf1-4f3e-a47b-052d32f03148/info.json,467,National Gallery of Art
Plate Number 468. Child walking,https://api.nga.gov/iiif/ca82fc14-9ea0-47d9-90de-09eb08466d73/info.json,468,National Gallery of Art
Plate Number 469. Child running,https://api.nga.gov/iiif/965b5940-6966-49bb-a3d0-99d005fdb877/info.json,469,National Gallery of Art
Plate Number 470. Child running after a man,https://api.nga.gov/iiif/d7197eba-1dbb-425e-b89c-9a53a2bac0a0/info.json,470,National Gallery of Art
Plate Number 471. Child crawling on hands and knees,https://api.nga.gov/iiif/ab65c7c4-1864-4d0b-89b7-e689779a3c82/info.json,471,National Gallery of Art
Plate Number 472. Child crawling up stairs,https://api.nga.gov/iiif/e6ecf64c-36d1-4db6-ab9b-ac8b807ac116/info.json,472,National Gallery of Art
Plate Number 473. Child walking up stairs,https://api.nga.gov/iiif/ec33ecd6-625a-4f06-9e99-25f9237204a5/info.json,473,National Gallery of Art
"Plate Number 474. Child walking up stairs, kneeling and reaching for vase",https://api.nga.gov/iiif/b94a90ec-42b8-41c9-a183-39ab14c18b9f/info.json,474,National Gallery of Art
Plate Number 475. Child getting up on a chair,https://api.nga.gov/iiif/be915d65-4484-4deb-ab9e-f7e148ba252b/info.json,475,National Gallery of Art
Plate Number 476. Child sitting down on the ground,https://api.nga.gov/iiif/fb4e12e3-9192-4615-93d5-685cbb4abe5f/info.json,476,National Gallery of Art
"Plate Number 477. Child stooping, lifting a goblet and drinking",https://api.nga.gov/iiif/24536d46-9022-43e6-ba0b-d9bf82197c60/info.json,477,National Gallery of Art
Plate Number 478. Child sprinkling water over some flowers,https://api.nga.gov/iiif/1be8ae4f-53b3-48d2-ab60-ef49c695262e/info.json,478,National Gallery of Art
Plate Number 479. Child getting up from the ground,https://api.nga.gov/iiif/763813b5-4062-4f0a-be78-2e687f74aaf3/info.json,479,National Gallery of Art
Plate Number 480. Child walking and crawling up stairs,https://api.nga.gov/iiif/a37d3326-be1d-4e38-8806-03924f8efbfa/info.json,480,National Gallery of Art
"Plate Number 481. Child lifting a doll, turning and walking off",https://api.nga.gov/iiif/cdaee017-d762-471e-8696-fadc78f7d1ae/info.json,481,National Gallery of Art
Plate Number 483. A: Lifting a basket. B: Running and waving a handkerchief,https://api.nga.gov/iiif/177f7015-9525-4b28-906a-69edc1c37d65/info.json,483,National Gallery of Art
Plate Number 484. A: Sweeping. B: Dusting a room,https://api.nga.gov/iiif/fd7f6928-9c4f-42ac-b0a3-f61812ba5198/info.json,484,National Gallery of Art
Plate Number 485. A: Standing and filling a goblet. B: Drinking while lying on the ground,https://api.nga.gov/iiif/81f3fc1d-0fac-4eb9-9db1-935192039ebe/info.json,485,National Gallery of Art
Plate Number 486. A: Lawn tennis. B: Ascending a step. C: Descending a step. D: Ascending a ladder,https://api.nga.gov/iiif/d125b12d-4363-454f-a444-17dbe5f166b5/info.json,486,National Gallery of Art
Plate Number 487. A: Ascending a step. B: Lifting a handkerchief from the ground. C: Walking. D: Running,https://api.nga.gov/iiif/60b8f1aa-25ca-4951-820c-017cfcbf6ff9/info.json,487,National Gallery of Art
Plate Number 488. A: Lawn tennis. B: Dumbbells. C: Walking on hands. D: Ascending stairs,https://api.nga.gov/iiif/f62df25c-b304-4fc8-b150-d30d6171a488/info.json,488,National Gallery of Art
Plate Number 489. A: Ascending incline. B: Ascending incline with a 50-lb. dumbbell. C: Descending incline. D: Descending incline with a 50-lb. dumbbell,https://api.nga.gov/iiif/cd64db01-b593-403d-9e2b-0181df4b5617/info.json,489,National Gallery of Art
"Plate Number 490. A, B: Sitting down. C: Sprinkling water. D: Stooping for cup and drinking",https://api.nga.gov/iiif/a9d015c2-d898-47c0-a4cf-22633deb1508/info.json,490,National Gallery of Art
"Plate Number 491. A, B: Hammering at an anvil. C: Using a hatchet. D: Sawing a board",https://api.nga.gov/iiif/3b804fe5-1440-422d-ac8e-e17ab494c126/info.json,491,National Gallery of Art
Plate Number 492. Rowing,https://api.nga.gov/iiif/fdb03646-90ed-42f8-b698-62afd8e7371f/info.json,492,National Gallery of Art
Plate Number 494. Miscellaneous phases of the toilet,https://api.nga.gov/iiif/97c435e1-e207-4f08-9f28-b419ef5793d5/info.json,494,National Gallery of Art
Plate Number 495. Miscellaneous phases of the toilet,https://api.nga.gov/iiif/8ceb9b91-6812-463c-9fa4-4b21534bce39/info.json,495,National Gallery of Art
Plate Number 496. Miscellaneous phases of the toilet,https://api.nga.gov/iiif/4c2cd0a0-658a-4522-b6da-c31560a92879/info.json,496,National Gallery of Art
Plate Number 497. Miscellaneous phases of the toilet,https://api.nga.gov/iiif/2c18ce26-cb9a-44ec-ad22-b43dccfe42c2/info.json,497,National Gallery of Art
Plate Number 498. Miscellaneous phases of the toilet,https://api.nga.gov/iiif/bb48ae87-be8e-450c-bbd1-3452410f01ae/info.json,498,National Gallery of Art
Plate Number 499. Raking and packing hay,https://api.nga.gov/iiif/fe9d8a00-24de-42a5-84eb-10f5d203e474/info.json,499,National Gallery of Art
"Plate Number 501. Miscellaneous,—stooping, kneeling, etc.",https://api.nga.gov/iiif/d81fe846-08e0-4235-ab9b-c6be8d1ad550/info.json,501,National Gallery of Art
"Plate Number 502. Miscellaneous, stooping, kneeling, etc.",https://api.nga.gov/iiif/edf08dd8-2a1c-4298-965a-9c7b2cdd778e/info.json,502,National Gallery of Art
"Plate Number 503. Miscellaneous, stooping, etc.",https://api.nga.gov/iiif/708cd4aa-7e12-4cc7-bfb1-4c012e5d4364/info.json,503,National Gallery of Art
Plate Number 504. Ascending and descending stairs,https://api.nga.gov/iiif/b4d9c03e-f950-41fe-a152-748c2a3ef26a/info.json,504,National Gallery of Art
Plate Number 505. Bricklaying,https://api.nga.gov/iiif/cbcfc581-67eb-4a13-b3d0-9e0469e0d9ae/info.json,505,National Gallery of Art
Plate Number 506. Bricklaying,https://api.nga.gov/iiif/ef89cdbb-4e6b-4f23-923c-e7df64026e6f/info.json,506,National Gallery of Art
Plate Number 507. Carpentering,https://api.nga.gov/iiif/ed35a220-e645-4df4-8243-8001c73058bf/info.json,507,National Gallery of Art
Plate Number 508. Shoeing a horse,https://api.nga.gov/iiif/0efe9667-6a35-4d4e-b2e1-57b00ba4ba4a/info.json,508,National Gallery of Art
Plate Number 509. Shoeing a horse,https://api.nga.gov/iiif/3fd426c3-563f-48d0-922d-e63c547f2586/info.json,509,National Gallery of Art
Plate Number 510. Contortions on the ground,https://api.nga.gov/iiif/0a950b90-3f3f-48d8-a5e9-251c3d3feb9d/info.json,510,National Gallery of Art
Plate Number 511. Contortions on the ground,https://api.nga.gov/iiif/811a12d8-2108-4179-97f5-a04cd6f8c53b/info.json,511,National Gallery of Art
Plate Number 512. Contortions on the rings,https://api.nga.gov/iiif/44bf0474-695d-44b2-b447-b43e8d50df6f/info.json,512,National Gallery of Art
Plate Number 513. Getting on and off a table,https://api.nga.gov/iiif/3d3b2d88-37be-49cb-8a4d-2ac990bd8a67/info.json,513,National Gallery of Art
Plate Number 514. Feeding a dog,https://api.nga.gov/iiif/f5b5490c-9b44-4f4e-819e-1fc6e9be9262/info.json,514,National Gallery of Art
Plate Number 515. Ascending and descending stairs,https://api.nga.gov/iiif/481c29e8-ba73-48b2-827d-817ebe7110e5/info.json,515,National Gallery of Art
Plate Number 516. Miscellaneous movements with a water jar,https://api.nga.gov/iiif/def1f3d7-ffec-43f4-a833-66c38e4c605e/info.json,516,National Gallery of Art
Plate Number 517. Miscellaneous movements with a water jar,https://api.nga.gov/iiif/9a6fd718-59d7-4f7a-aa68-9e72c0c68747/info.json,517,National Gallery of Art
"Plate Number 518. Sitting down, rising, etc.",https://api.nga.gov/iiif/e44b5d35-0b82-4b1c-9804-cf6d186776d1/info.json,518,National Gallery of Art
Plate Number 519. A: Throwing a disk. B: Ascending a step. C: Walking,https://api.nga.gov/iiif/8bdb642d-f821-4d27-b442-defd88159d4e/info.json,519,National Gallery of Art
Plate Number 520. A-C: Wrestling. D: Sparring without gloves,https://api.nga.gov/iiif/6eba2f43-6024-4b6f-aab4-2cdca4743789/info.json,520,National Gallery of Art
"Plate Number 521. A: Walking. B: Ascending a step. C: Throwing the disk. D: Using a shovel. E, F: Using a pick",https://api.nga.gov/iiif/15815738-8095-484b-ad98-0da61eb198ff/info.json,521,National Gallery of Art
"Plate Number 522. A: Jumping. B: Handspring. C, D: Somersault. E: Springing over a man's back",https://api.nga.gov/iiif/f09133fc-9cf2-4c68-9a18-c24ce9d77e28/info.json,522,National Gallery of Art
"Plate Number 523. A: Striking a blow. B, E: Throwing a disk. C, F: Heaving a 75-lb. stone. D: Throwing a ball",https://api.nga.gov/iiif/e34d8c8a-1f91-4ce7-8ac5-bf36eae2f6ba/info.json,523,National Gallery of Art
Plate Number 524. A: Throwing water from a bucket. B: Descending a step. C: Ascending a step. D: Playing lawn tennis,https://api.nga.gov/iiif/dc058a8f-7dbe-4a2b-acae-761bab58826e/info.json,524,National Gallery of Art
"Plate Number 525. A, C: Descending a step. B, D: Ascending a step. E: Waving a handkerchief",https://api.nga.gov/iiif/e3ae2bda-568e-4e57-b822-97ccb965befb/info.json,525,National Gallery of Art
Plate Number 527. A-C: Spanking a child,https://api.nga.gov/iiif/dbe121ab-50f9-4fdd-b068-a77f142e6467/info.json,527,National Gallery of Art
Plate Number 529. Various poses,https://api.nga.gov/iiif/37a47aa7-3c89-411e-ab5b-2641eeb3d73e/info.json,529,National Gallery of Art
Plate Number 530. Various poses,https://api.nga.gov/iiif/84708787-530a-4c6f-9ee3-47cc9a3327f4/info.json,530,National Gallery of Art
Plate Number 531. Various poses,https://api.nga.gov/iiif/4e04ba93-1d8a-4c73-abcf-96986839efc6/info.json,531,National Gallery of Art
"Plate Number 532. Movement of the hand, drawing a circle",https://api.nga.gov/iiif/5feec5fa-c804-469a-86ec-d8c8eef9ea7f/info.json,532,National Gallery of Art
"Plate Number 533. Movement of the hand, clasping hands",https://api.nga.gov/iiif/5882b2b5-5732-4496-af24-12c7e6a7e48f/info.json,533,National Gallery of Art
"Plate Number 534. Movement of the hand, lifting a ball",https://api.nga.gov/iiif/4f91ccba-45eb-498e-8d61-9fd7a83f7422/info.json,534,National Gallery of Art
"Plate Number 535. Movement of the hand, beating time",https://api.nga.gov/iiif/01c76891-2c29-41cf-b4d4-79f9c5b828b7/info.json,535,National Gallery of Art
"Plate Number 536. Movement of the hand, hand changing pencil",https://api.nga.gov/iiif/e0023028-34e4-4a6f-829c-c30ca0669aad/info.json,536,National Gallery of Art
"Plate Number 538. Double amputation of thighs, boy. A: Moving forward. B: Getting on chair. C: Getting down from chair",https://api.nga.gov/iiif/80df49ee-206f-4d5c-bd18-e0a2ff0c6cd6/info.json,538,National Gallery of Art
"Plate Number 539. Infantile paralysis, child walking on hands and feet",https://api.nga.gov/iiif/985f6230-5862-4da5-af38-0da791a114c1/info.json,539,National Gallery of Art
"Plate Number 540. A: Bowlegs, boy. B: Spinal caries, girl walking",https://api.nga.gov/iiif/eb14a08c-d1eb-4e93-861d-b50a7fa5812b/info.json,540,National Gallery of Art
Plate Number 541. Spastic walking,https://api.nga.gov/iiif/23ca2c9c-0303-4386-a695-8d4630c78529/info.json,541,National Gallery of Art
Plate Number 542. Spastic walking,https://api.nga.gov/iiif/5841e289-9473-4000-9eab-c8be04485e5c/info.json,542,National Gallery of Art
Plate Number 543. Spastic walking,https://api.nga.gov/iiif/32f3694d-7e8e-41b0-82a0-a7acc767a63d/info.json,543,National Gallery of Art
"Plate Number 544. Artificially induced convulsions, lying down",https://api.nga.gov/iiif/bbf6d535-7271-4d0a-8f39-0f70af8c8688/info.json,544,National Gallery of Art
"Plate Number 545. Artificially induced convulsions, sitting",https://api.nga.gov/iiif/e53e3748-1ec0-4ba1-afa7-83c14584b425/info.json,545,National Gallery of Art
"Plate Number 546. Locomotor ataxia, walking",https://api.nga.gov/iiif/4d0252f9-6e6a-4ba9-a81f-ad12d76a6a61/info.json,546,National Gallery of Art
"Plate Number 548. Lateral sclerosis, walking",https://api.nga.gov/iiif/7a88f837-ec93-4c44-b5a8-68e7c96b7f1d/info.json,548,National Gallery of Art
"Plate Number 549. Locomotor ataxia, walking",https://api.nga.gov/iiif/c58978a3-f26a-49ae-96ec-d95d6c52e8ea/info.json,549,National Gallery of Art
"Plate Number 550. Locomotor ataxia, walking. A: Arms down. B: Arms up",https://api.nga.gov/iiif/53769eff-c6d9-48a8-b02f-c25f0aef09b1/info.json,550,National Gallery of Art
"Plate Number 553. Spastic, walking",https://api.nga.gov/iiif/954b19ac-3ce8-4e1f-8c34-7f44a4adb276/info.json,553,National Gallery of Art
"Plate Number 555. Muscular atrophy of legs, adult, walking",https://api.nga.gov/iiif/ad49cae7-20f8-4978-8ac1-324f86bece5c/info.json,555,National Gallery of Art
"Plate Number 556. Local chorea, lying down",https://api.nga.gov/iiif/1d8f6c17-5228-4a79-96a4-b97bc419922e/info.json,556,National Gallery of Art
"Plate Number 557. Local chorea, standing",https://api.nga.gov/iiif/8d5685a9-1c7e-42f2-b33e-afd803b33580/info.json,557,National Gallery of Art
"Plate Number 559. Partial paraplegia, walking with cane",https://api.nga.gov/iiif/6c255d29-45db-457c-8452-58c35dabd7c4/info.json,559,National Gallery of Art
"Plate Number 561. Hydrocephalus, walking",https://api.nga.gov/iiif/2c607560-b5f4-4414-9c9b-ed7833a89a84/info.json,561,National Gallery of Art
"Plate Number 562. Lateral curvature of spine, walking",https://api.nga.gov/iiif/cfca100e-d960-4079-aab1-e1e49d2dcbff/info.json,562,National Gallery of Art
"Plate Number 563. ""Dusel"" hauling, broken log chain",https://api.nga.gov/iiif/48b19496-1f37-421c-a444-7c9ecb18d8e2/info.json,563,National Gallery of Art
"Plate Number 564. ""Dusel"" hauling, broken log chain",https://api.nga.gov/iiif/2fb48c9e-465d-4ade-aa69-677eff13d3b6/info.json,564,National Gallery of Art
"Plate Number 565. ""Dusel"" hauling",https://api.nga.gov/iiif/f64dc29f-d3e2-49d8-b773-0a4912756900/info.json,565,National Gallery of Art
"Plate Number 566. ""Dusel"" hauling",https://api.nga.gov/iiif/981f3385-96b7-4b66-8a82-cc3eb63c0acc/info.json,566,National Gallery of Art
"Plate Number 567. ""Billy"" hauling",https://api.nga.gov/iiif/2a05c55a-9aa4-4232-8f86-923b8bceeb2e/info.json,567,National Gallery of Art
"Plate Number 568. ""Billy"" hauling",https://api.nga.gov/iiif/3a3cc33e-f7d1-4cba-8821-70d74dbe8fc2/info.json,568,National Gallery of Art
"Plate Number 569. ""Hansel"" hauling",https://api.nga.gov/iiif/64f658d0-c539-4554-b852-324cea5642b4/info.json,569,National Gallery of Art
"Plate Number 570. ""Hansel"" hauling",https://api.nga.gov/iiif/a3a3413f-b4bf-4d3c-adaf-0a132b6cf15f/info.json,570,National Gallery of Art
"Plate Number 571. ""Johnson"" hauling",https://api.nga.gov/iiif/c9e8be78-2b58-4755-a879-40ca0b280de7/info.json,571,National Gallery of Art
"Plate Number 572. ""Johnson"" hauling, head being pulled",https://api.nga.gov/iiif/f20962b6-a620-45c3-8b43-b480c0b9e896/info.json,572,National Gallery of Art
"Plate Number 573. ""Johnson"" hauling, man pulling at head",https://api.nga.gov/iiif/75eb92fa-8da6-4240-bbc9-b6de02404bf5/info.json,573,National Gallery of Art
"Plate Number 574. ""Hansel"" walking, free",https://api.nga.gov/iiif/157ad21a-492d-4847-ad9a-3241c96bd89d/info.json,574,National Gallery of Art
