Label,Image URI,Plate Number,Provider
"Plate Number 55. Walking and turning around, action of aversion",https://api.nga.gov/iiif/d94a0aa4-0ae2-410f-bdb5-5f57800d902f/info.json,55,National Gallery of Art
"Plate Number 56. Walking, turning and stooping to lift train",https://api.nga.gov/iiif/671c78b4-dbd6-4ee8-be5e-4653f8ede901/info.json,56,National Gallery of Art
Plate Number 57. Walking and turning around with a 10-lb. basket on head,https://api.nga.gov/iiif/bcda8ca3-61db-42d4-8548-33661b566636/info.json,57,National Gallery of Art
"Plate Number 58. Walking, turning around and sweeping the floor",https://api.nga.gov/iiif/113707aa-96f0-4342-8533-5832357c2c07/info.json,58,National Gallery of Art
Plate Number 59. Starting for a run,https://api.nga.gov/iiif/5810d18e-3802-4372-9a88-aae4c411b320/info.json,59,National Gallery of Art
Plate Number 60. Running at a half-mile gait,https://api.nga.gov/iiif/ec097a59-92ff-446e-8b44-cde94b1f10d9/info.json,60,National Gallery of Art
Plate Number 61. Running at full speed,https://api.nga.gov/iiif/ee8e982c-26de-48cc-ae0a-365d8a7b1bfb/info.json,61,National Gallery of Art
Plate Number 62. Running at full speed,https://api.nga.gov/iiif/c6c884f7-24b9-43fc-9a40-a3a929cfc3ee/info.json,62,National Gallery of Art
Plate Number 63. Running at full speed,https://api.nga.gov/iiif/1719114f-4cff-43bd-be28-dfeae735a30d/info.json,63,National Gallery of Art
Plate Number 64. Running at full speed,https://api.nga.gov/iiif/e68a6a99-3ae9-49d0-97ec-e473a972344c/info.json,64,National Gallery of Art
Plate Number 65. Running at full speed,https://api.nga.gov/iiif/e78e171c-fc40-4e64-a073-920456caf3fa/info.json,65,National Gallery of Art
Plate Number 66. Running,https://api.nga.gov/iiif/86268d9c-1fb2-4daa-8228-0794a0195872/info.json,66,National Gallery of Art
Plate Number 67. Running,https://api.nga.gov/iiif/ceee2ab9-52c3-44f6-8a02-5ffd839cb4ea/info.json,67,National Gallery of Art
Plate Number 68. Running,https://api.nga.gov/iiif/0833fc6b-fddb-404f-927a-2741b930d07e/info.json,68,National Gallery of Art
Plate Number 69. Two men running,https://api.nga.gov/iiif/8a0a6d9a-87f7-46e3-9562-e4d757331232/info.json,69,National Gallery of Art
Plate Number 70. Running,https://api.nga.gov/iiif/8d97453a-5cc4-489f-99cc-32e3966cbbd7/info.json,70,National Gallery of Art
Plate Number 71. Running,https://api.nga.gov/iiif/a9d984be-0c45-43ca-9dae-6bc1870b5d73/info.json,71,National Gallery of Art
Plate Number 72. Running and leading child hand in hand,https://api.nga.gov/iiif/6e2bb55f-0f89-4459-924d-8a68952b3671/info.json,72,National Gallery of Art
Plate Number 73. Turning around in surprise and running away,https://api.nga.gov/iiif/1c7bac00-ecc5-4c0d-9b61-5f1828df030a/info.json,73,National Gallery of Art
Plate Number 74. Ascending an incline,https://api.nga.gov/iiif/2a5df88f-7209-474e-9491-a2560bb15219/info.json,74,National Gallery of Art
Plate Number 75. Ascending an incline,https://api.nga.gov/iiif/6da24bf3-89de-4ae3-9482-737ee8439074/info.json,75,National Gallery of Art
Plate Number 76. Ascending an incline,https://api.nga.gov/iiif/a925d7fa-63c1-4756-acc7-b5ec409e1c5c/info.json,76,National Gallery of Art
Plate Number 77. Ascending an incline,https://api.nga.gov/iiif/63eb96e1-8e5e-46b8-99ba-822824225e86/info.json,77,National Gallery of Art
Plate Number 78. Ascending an incline and flirting a fan,https://api.nga.gov/iiif/94e19f81-1917-4790-ae5d-ba9891457a0c/info.json,78,National Gallery of Art
Plate Number 79. Ascending an incline,https://api.nga.gov/iiif/8e841727-81df-47d6-b7ac-d811aed7bdbb/info.json,79,National Gallery of Art
Plate Number 80. Ascending an incline with a 20-lb. basket on head,https://api.nga.gov/iiif/dea6d8ec-be68-4121-b3ba-72cccc449e6f/info.json,80,National Gallery of Art
Plate Number 81. Ascending an incline with a bucket of water in each hand,https://api.nga.gov/iiif/e32317b0-faea-465c-9ed4-e8d6ef2c0351/info.json,81,National Gallery of Art
Plate Number 82.  Ascending an incline with a bucket of water in each hand,https://api.nga.gov/iiif/95ac266a-f2f2-464b-b526-a454d4bd4110/info.json,82,National Gallery of Art
Plate Number 83. Ascending an incline with a bucket of water in right hand,https://api.nga.gov/iiif/20e8ef6f-d51d-42e8-9dba-dadccb2269e7/info.json,83,National Gallery of Art
Plate Number 84. Ascending an incline with a bucket of water in right hand,https://api.nga.gov/iiif/d0dcf427-cc0c-40c2-9882-bc0fb25f6179/info.json,84,National Gallery of Art
Plate Number 85. Ascending an incline,https://api.nga.gov/iiif/d8d156c1-d2ed-4641-84c4-eb78f81d0325/info.json,85,National Gallery of Art
Plate Number 86. Ascending an incline,https://api.nga.gov/iiif/9deeb7c4-6027-4ca2-a94a-f7731899ab88/info.json,86,National Gallery of Art
Plate Number 87. Ascending an incline with a bucket of water in each hand,https://api.nga.gov/iiif/5071d6cd-0a97-4ba9-9c85-a33a9da8fa6b/info.json,87,National Gallery of Art
Plate Number 88. Ascending stairs,https://api.nga.gov/iiif/44fcb759-e1d9-4294-a426-d949b12fce31/info.json,88,National Gallery of Art
Plate Number 89. Ascending stairs,https://api.nga.gov/iiif/a929fa6c-63c8-441d-9b52-c600a8d156f2/info.json,89,National Gallery of Art
Plate Number 90. Ascending stairs,https://api.nga.gov/iiif/cf90a13c-0dd6-4eca-ac55-3285f5a6b8b3/info.json,90,National Gallery of Art
Plate Number 91. Ascending stairs,https://api.nga.gov/iiif/3bd7710e-5e2e-4028-8779-1b190cdc8459/info.json,91,National Gallery of Art
Plate Number 92. Ascending stairs,https://api.nga.gov/iiif/3b1bf407-6ddc-42ae-a7c0-ccfe1df6efa5/info.json,92,National Gallery of Art
Plate Number 93. Ascending stairs,https://api.nga.gov/iiif/b45b6622-f5e1-4104-ac3b-a5e0894a48a1/info.json,93,National Gallery of Art
Plate Number 94. Ascending stairs and looking around with basin in hands,https://api.nga.gov/iiif/d0743012-d674-4979-b5ab-53b9b2696667/info.json,94,National Gallery of Art
Plate Number 95. Ascending stairs with a basin in hands,https://api.nga.gov/iiif/66a6710e-8f52-4e28-a9ba-6f429dc661de/info.json,95,National Gallery of Art
"Plate Number 96. Ascending stairs, looking round and waving a handkerchief",https://api.nga.gov/iiif/6877b0e9-3b7d-4e1c-af18-2f146a38fe78/info.json,96,National Gallery of Art
"Plate Number 97. Turning to ascend stairs, with a pitcher and a goblet in hands",https://api.nga.gov/iiif/31bc05d8-a006-49a2-b744-76fb93d78a58/info.json,97,National Gallery of Art
Plate Number 98. Turning and ascending stairs,https://api.nga.gov/iiif/93633b0f-a578-4828-bf48-a2be66f835f3/info.json,98,National Gallery of Art
Plate Number 99. Turning and ascending stairs,https://api.nga.gov/iiif/5ac0aefb-23b8-4bd2-a007-0771f3b1c2be/info.json,99,National Gallery of Art
Plate Number 100. Turning and ascending stairs,https://api.nga.gov/iiif/738a02e5-dfe3-42a9-a50a-7f1cd9aee805/info.json,100,National Gallery of Art
"Plate Number 101. Turning, ascending stairs and waving hand",https://api.nga.gov/iiif/f4c4f786-fc9c-44e7-b7a9-7f71439adea3/info.json,101,National Gallery of Art
Plate Number 102. Turning and ascending stairs with a bucket of water in right hand,https://api.nga.gov/iiif/bb0f71a1-187a-46c1-92a7-88de230411ee/info.json,102,National Gallery of Art
Plate Number 103. Turning and ascending stairs with a pitcher and goblet in hands,https://api.nga.gov/iiif/45fba049-a5bf-41ad-a82d-81f7feb1bb92/info.json,103,National Gallery of Art
Plate Number 104. Turning and ascending stairs with a bucket of water in each hand,https://api.nga.gov/iiif/8da24a9c-140c-49e1-8463-e9543f8e3e11/info.json,104,National Gallery of Art
"Plate Number 105. Turning and ascending stairs, a water jar on left shoulder",https://api.nga.gov/iiif/68b818fa-f727-40d9-93f0-a520997e82a3/info.json,105,National Gallery of Art
Plate Number 106. Turning to ascend stairs with a bucket of water in each hand,https://api.nga.gov/iiif/e4b89f1f-ff15-4c03-ad82-e08201062eaf/info.json,106,National Gallery of Art
Plate Number 107. Turning to ascend stairs with a bucket of water and a broom in hands,https://api.nga.gov/iiif/0d1eab26-455f-4d72-bd32-a663e9977237/info.json,107,National Gallery of Art
"Plate Number 108. Turning to ascend stairs, stooping and lifting pitcher",https://api.nga.gov/iiif/59371e0a-4f4f-48ce-9357-16c3b1aeaa7a/info.json,108,National Gallery of Art
Plate Number 109. Ascending a stepladder,https://api.nga.gov/iiif/2a1000f3-f1f8-437e-8556-1154b0c63d74/info.json,109,National Gallery of Art
Plate Number 110. Ascending a stepladder two steps at a time,https://api.nga.gov/iiif/e45c9557-eb78-427b-8310-45bf1221085b/info.json,110,National Gallery of Art
Plate Number 111. Ascending a ladder,https://api.nga.gov/iiif/6dfe074a-2253-40da-9c8a-f8bbb2479ac9/info.json,111,National Gallery of Art
Plate Number 112. Ascending a ladder,https://api.nga.gov/iiif/0484f39a-ad92-4641-a8b6-ce6e1c8b8e00/info.json,112,National Gallery of Art
Plate Number 113. Descending an incline,https://api.nga.gov/iiif/91c0019e-30c9-4d97-ac1f-b996cc6ed9d2/info.json,113,National Gallery of Art
Plate Number 114. Descending an incline,https://api.nga.gov/iiif/6e9efd48-d328-4c5f-8bf7-f6d2f978f76b/info.json,114,National Gallery of Art
Plate Number 115. Descending an incline with hands clasped in front,https://api.nga.gov/iiif/b931bfe7-036c-4999-9852-7e52444d7261/info.json,115,National Gallery of Art
Plate Number 116. Descending an incline with one hand on chin,https://api.nga.gov/iiif/6b707761-7ee6-49c3-afd6-da335ff0f5ca/info.json,116,National Gallery of Art
Plate Number 117. Descending an incline,https://api.nga.gov/iiif/7f2df8fe-e340-4c1c-8c3c-0b83eedb6e92/info.json,117,National Gallery of Art
Plate Number 118. Descending an incline,https://api.nga.gov/iiif/4817d65d-17d5-4a55-bf5c-cae6ee0fda19/info.json,118,National Gallery of Art
Plate Number 119. Descending an incline with right hand on breast,https://api.nga.gov/iiif/0bb938df-7ae9-46c0-b652-b391cf089863/info.json,119,National Gallery of Art
Plate Number 120. Descending an incline with a bucket of water in right hand,https://api.nga.gov/iiif/bcdbc4db-a3db-4b3d-9ec9-baae87395d60/info.json,120,National Gallery of Art
Plate Number 121. Descending an incline with a bucket of water in each hand,https://api.nga.gov/iiif/69c4bd67-0e65-4c76-902b-e6b525b29189/info.json,121,National Gallery of Art
Plate Number 122. Descending an incline with a bucket of water in each hand,https://api.nga.gov/iiif/81daaaa1-0c9b-46a8-8d38-532c388670e5/info.json,122,National Gallery of Art
"Plate Number 123. Descending an incline with a 20-lb. basket on head, hands raised",https://api.nga.gov/iiif/e643b891-84c6-4f17-a760-a6645e63009a/info.json,123,National Gallery of Art
"Plate Number 124. Descending an incline with a 20-lb. basket on head, hands raised",https://api.nga.gov/iiif/2f6eb74b-1077-41e7-ab35-28f5ee112168/info.json,124,National Gallery of Art
Plate Number 125. Descending stairs,https://api.nga.gov/iiif/217ca846-d2f9-4a03-b6d2-acfa56aee321/info.json,125,National Gallery of Art
Plate Number 126. Descending stairs,https://api.nga.gov/iiif/98f6432a-981d-4dfd-afbf-b55bb2ffce67/info.json,126,National Gallery of Art
Plate Number 127. Descending stairs,https://api.nga.gov/iiif/51fc4a29-f2b7-4fde-840c-062ade8064f7/info.json,127,National Gallery of Art
Plate Number 128. Descending stairs with hands clasped,https://api.nga.gov/iiif/df224c32-fe7e-44c5-9a2e-92791b4faf3e/info.json,128,National Gallery of Art
Plate Number 129. Descending stairs,https://api.nga.gov/iiif/82e27d7b-826e-4e8a-bcdf-0ca37e9757ca/info.json,129,National Gallery of Art
